objectid,calle,codigo,foto,geo_shape,geo_point_2d
5,PASEO MARITIMO/HISTORIADOR COLOMA--2ª,1151,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1151.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3245649933146064, 39.470317839583906], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3245649933146064, 'lat': 39.470317839583906}"
9,BULEVAR SUR - BARRACA AUSIAS MARCH 1,1040,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1040.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37167000776736375, 39.44525146436307], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37167000776736375, 'lat': 39.44525146436307}"
11,PLAZA DEL MERCADO,110,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/110.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37922498535436144, 39.47457122693957], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37922498535436144, 'lat': 39.47457122693957}"
17,JARDIN PLAZA DE LA REINA,104,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/104.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37553501058701816, 39.474624632493956], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37553501058701816, 'lat': 39.474624632493956}"
22,CEMENTERIO GENERAL SEC 20-1,C121,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C121.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3986200087544989, 39.44298171899335], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3986200087544989, 'lat': 39.44298171899335}"
95,ROTONDA AVD. FRANCIA / T. DE MONTAÑANA (1),1225,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1225.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35488998902981184, 39.46068191367038], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35488998902981184, 'lat': 39.46068191367038}"
99,PASEO MARITIMO 3ª (DELFINES)--2ª,1150,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1150.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.32458901323783773, 39.47462844796068], 'type': 'Point'}, 'properties': {}}","{'lon': -0.32458901323783773, 'lat': 39.47462844796068}"
103,"C/ QUART,109",301,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/301.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38897699157932025, 39.474861144086574], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38897699157932025, 'lat': 39.474861144086574}"
105,CEMENTERIO GENERAL SECC. 19-5,C005,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C005.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3973209859835164, 39.45009231453013], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3973209859835164, 'lat': 39.45009231453013}"
110,"CEMENTERIO DE BENIMAMET, 4-1",1813,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1813.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.42365598614323124, 39.506092070826824], 'type': 'Point'}, 'properties': {}}","{'lon': -0.42365598614323124, 'lat': 39.506092070826824}"
112,CEMENTERIO GENERAL SECC. 16,C068,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C068.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4011029896475116, 39.44967269818543], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4011029896475116, 'lat': 39.44967269818543}"
36,EDUARDO SOLER PEREZ-PARQUE INTERIOR,448,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/448.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39904698657351645, 39.47792053097006], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39904698657351645, 'lat': 39.47792053097006}"
