address,number,open,available,free,total,ticket,updated_at,geo_shape,geo_point_2d,update_jcd
Francia - Menorca,56,T,0,15,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3444052893928658, 39.45842126509135], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3444052893928658, 'lat': 39.45842126509135}",2025-06-14T12:01:40+00:00
Aragón - Vicente Sancho Tello,78,T,6,14,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.358688329939162, 39.46994531050937], 'type': 'Point'}, 'properties': {}}","{'lon': -0.358688329939162, 'lat': 39.46994531050937}",2025-06-14T11:56:38+00:00
Plaza Poeta Llorente,5,T,5,10,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3711403661399108, 39.476895339123786], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3711403661399108, 'lat': 39.476895339123786}",2025-06-14T12:01:48+00:00
Ribera - Plaza Ayuntamiento,15,T,2,32,34,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3756373880434071, 39.46908831533384], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3756373880434071, 'lat': 39.46908831533384}",2025-06-14T11:53:04+00:00
Xátiva - Bailén (Estación del Norte),17,T,28,2,30,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3772593951806123, 39.46746831099193], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3772593951806123, 'lat': 39.46746831099193}",2025-06-14T11:56:52+00:00
"Colón, 44",70,T,6,11,17,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3716462894107889, 39.469213221319464], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3716462894107889, 'lat': 39.469213221319464}",2025-06-14T11:58:33+00:00
Fernando el Católico - Erudito Orellana,23,T,1,18,19,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3861784216967592, 39.471628328748515], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3861784216967592, 'lat': 39.471628328748515}",2025-06-14T12:00:12+00:00
Fernando el Católico - Cuenca,24,T,18,1,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3840274173384119, 39.469077319212495], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3840274173384119, 'lat': 39.469077319212495}",2025-06-14T12:01:22+00:00
San Vicente Martir - Doctor Vilá Barberá,27,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3818514137102655, 39.463362299305594], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3818514137102655, 'lat': 39.463362299305594}",2025-06-14T11:58:44+00:00
Navarro Reverter - Grabador Esteve,28,T,3,26,29,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36775135880068294, 39.47158231958138], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36775135880068294, 'lat': 39.47158231958138}",2025-06-14T11:59:05+00:00
